PROGRAM MATHEMATICS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,At least 1 out of Industry mentor or Alumni Mentor or Faculty Co-Mentor from outside MRU is required.,,,,,,,,,,,,,,,,,,,,,
SR. No.,Name of Faculty,Designation,Problem Statement,IDPaspectInproblemStatement,facultyComentorFromMRU,industryMentor,alumniMentor,facultyComentorOutsideMRU,DisciplinesInvovled,"Expected Outcome
1 or more out of the following:
Research paper
Copyright
Prototype
Patent
Product
Startup
Innovation
Newspaper Article
Vlog/Blog",SDGs,societalOrIndustrialImpact,,,,,,,,,,,,,,,
1,Dr. Aparna Vyas,"Assoc. Professor
Program Head-Maths","Image Processing{enhancemeant,denoising} using Multiscale transform (Matlab,Paython Software )","Image denoising plays very crucial role in applications which include photography/videography, Security-Surveillance, Medical Image analysis, Astronomy, Aerial photography, Satellite Imagery, and many more. The results of denoising also affect the accuracy of later tasks of image segmentation, object recognition, classification.
In this project we explore image denoising of different images with different noises using multiscale transform such as wavelet transform, ridgelet transform, curvelet transform and shearlet transform and several thresholding techniques such as hard thresholding, soft thresholding, SUREShrink, VisuShrink and BayesShrink etc. Further, we compare the performance of these methods or transform in terms of PSNR and MSE values and aim to provide better image denoising technique for images.","Dr. Charu Pathak, ECE Dept.
 Dr. Manpreet Kaur, CST Dept.","1. Prof. Joonki Paik
Department of Image Science 
Chung-Ang University

2. Prof. Gibak Kim
Department of Electrical Enginnering
Soongsil University, Seoul, South Korea",NA ,NA,"CST, ECE",Research Paper,"SDG 3, 4, 9, 11, 13","The outcome is expected to contribute:

To Industry: By improving visual data preprocessing pipelines in domains such as healthcare diagnostics, satellite image interpretation, and security surveillance, leading to more accurate and reliable decision-making.

To Society: Through enhanced image quality in daily applications such as mobile photography, video streaming, and medical diagnostics, ultimately improving user experience and diagnostic precision.

To New Knowledge: By offering comparative insights into the performance of different multiscale transforms and thresholding methods, the research contributes to the academic understanding and future development of efficient image denoising algorithms.

In general, this work promotes innovation in digital imaging and lays the groundwork for robust, noise-resilient image processing systems.",,,,,,,,,,,,,,,
2,Prof. (Dr.) Deepa Arora,"Prof., Director-IQAC      ",EduFlow: Optimizing Document Management and Workflow for Institutional Improvements,"Objective:
To create a centralized, efficient, and user-friendly system to optimize the management, review, approval, and storage of institutional documents, ensuring smooth workflows for internal processes like policy updates, accreditation, meeting minutes, and more. This project aims to streamline operations within educational institutions, particularly for departments like IQAC (Internal Quality Assurance Cell), and enhance document accessibility, security, and collaboration.
The project is interdisciplinary, combining Computer Science for backend development, cloud storage, and security protocols; Education Management for aligning workflows with institutional governance and accreditation standards; Human-Computer Interaction (HCI) for designing a user-friendly interface for diverse stakeholders; and Law and Compliance to ensure data privacy and audit trails. This integration of technical, educational, design, and legal aspects enhances document management efficiency and supports institutional quality assurance processes.","Dr. Prashant Bhardwaj
Dr. Roopa Rani",NA ,NA ,NA ,CST,"Research paper, copyright","SDG 4,9,16,17","Impact on Society
EduFlow promotes transparency and efficiency in educational institutions by streamlining documentation and workflows, leading to improved governance and better academic outcomes.

Impact on Industry

It offers a scalable digital solution for the higher education sector, supporting regulatory compliance, reducing manual processes, and fostering sustainable, paperless operations.

Contribution to New Knowledge

EduFlow integrates technology, education management, design, and legal compliance to create an interdisciplinary model that advances research in digital transformation and quality assurance in education.
",,,,,,,,,,,,,,,
3,Dr. Advin Masih ,Asstt. Prof.,Applications of Differential Geometry from Curved Spacetimes to Data Manifolds,"This project explores differential geometry concepts, specifically the curvature and topology of manifolds, to analyze structures arising in physics and data science. In physics, spacetime is modeled as a curved manifold in general relativity, while in data science, high-dimensional datasets often lie near lower-dimensional manifolds. The interdisciplinary focus lies in applying geometric tools to model physical phenomena and extract meaningful patterns from complex data.","Prof. Sachin Lakra, 
Professor- CST, MRU",NA,NA,"Dr. Mamta Thakur,","CST, Maths",Research paper,"SDG4, SDG13","Differential geometry bridges theoretical physics and data science, shaping our understanding of spacetime and enabling manifold learning in AI. Its applications in robotics, neuroscience, and medical imaging drive innovation and precision. The field contributes to smarter technologies and deeper insights into natural phenomena. This fosters interdisciplinary research and societal advancement through geometry-driven knowledge.",,,,,,,,,,,,,,,
4,Dr. Ankita Gaur,Asstt. Prof.,Graph Theoretic Analysis of Social Media Networks,"This project is interdisciplinary as it applies mathematical graph theory and computational algorithms (from mathematics and computer science) to analyze the structure and dynamics of social media networks, while interpreting the results through the lens of social science to understand human behavior, influence, and community formation.
Such integration enables a comprehensive understanding of both the technical and social aspects of online platforms, supporting applications in areas like marketing, public health, and information dissemination.",Prof. ( Dr. ) Mrinal Pandey,NA,NA,NA,"CST, Maths",Research Paper,"SDG 3, SDG 4, SDG 9","The expected impact of this interdisciplinary project is to give society and industry better ways to understand and predict how people connect, share, and influence each other on social media platforms. By applying graph theory and computer algorithms, the project will help improve marketing strategies, strengthen online communities, and provide new knowledge about digital human behavior, making online interactions safer and more effective for everyone.",,,,,,,,,,,,,,,
5,Dr. Bhawna Singla,Asstt. Prof.,Smart Predictions: Applied Machine Learning with Statistical Foundations,"This project is interdisciplinary as it appliesStatistics, Computer Science, and Engineering—to provide students with an approach to solve complex, real-world problems.                                                                The project aims to apply statistical analysis and machine learning techniques for solving real-world engineering problems by building predictive models, interpreting results with statistical rigor.","Prof.(Dr.) Deepa Arora, Dr Shalu ",NA,NA,NA,"CST, Maths",Research Paper,"SDG 3, SDG 4, SDG 9","These project will  lead to increased efficiency, better resource allocation, and even improvements in public health and safety. However, this technology also presents challenges related to job displacement, bias, and ethical considerations, highlighting the need for careful consideration and responsible implementation, according to research and analysis of the societal impact of machine learning. ",,,,,,,,,,,,,,,
6,Dr. Dinesh Tripathi,Assoc. Prof.,Climate Modeling with Polynomial Approximations,This project integrates mathematics (polynomial approximation theory) with climate science to model and predict environmental variables. It bridges numerical methods and data analysis to provide simplified yet insightful representations of complex climate behavior.,NA,NA,NA,NA,"Chemistry, Maths",Research paper ,"SDG 4, 9 & 13","This project is expected to enhance climate prediction accuracy while reducing computational complexity, making climate models more accessible and actionable. It can aid policymakers, industries, and communities in planning for climate risks, while offering the scientific community new insights into the application of polynomial approximations in environmental modeling. The work contributes to both sustainable development and mathematical modeling innovation.",,,,,,,,,,,,,,,
7,Dr. Kamlesh Kumar,Asstt. Prof.,Numerical Solution of Abel's Integral Equations,In this project we will find the high order numerical solution of Abel's differential equation by using the different techniques of mathematical methods with stability analysis.,Dr. Ramapati Maurya,NA,NA,"Dr. Vijay Kumar Yadav
Department of Sciences (Mathematics), School of Sciences, Amity University, Haryana",Sciences and Engineering,Research paper ,"SDG 4,9 &13","The project will provide new insights into the numerical behavior and stability properties of high-order methods when applied to Abel’s differential equation—a class of nonlinear differential equations known for their mathematical complexity. The research may lead to the derivation or refinement of algorithms that can be generalized to broader classes of nonlinear problems. Many engineering, physics, and biological systems are modeled using nonlinear differential equations. Improved numerical methods for solving such equations can enhance the accuracy and reliability of simulations in industries like aerospace, biomedical engineering, and climate modeling.",,,,,,,,,,,,,,,
8,Dr. Ramapati Maurya,Asstt. Prof.,Modelling the application of renewable energy resources for Sustainable Development,"The objective of this project is to develop a model that demonstrates the effective application of renewable energy resources—such as solar, wind, and hydro—to meet energy demands in a sustainable and cost-efficient manner. This model will simulate energy generation, usage, and optimization under real-world constraints, aiming to reduce dependency on fossil fuels, lower carbon emissions, and promote sustainable development.",Dr. Vinayak V. Pathak & Dr. M. Javed Idrisi,NA,NA,NA,Sciences and Engineering,Research paper,"SDG 2, 7, 11, 13","Expected Impact on Industry:
The project will drive innovation in renewable energy technologies, attract investment in green infrastructure, generate employment opportunities, and support industries in transitioning towards cost-effective and resilient energy systems.

Contribution to New Knowledge:
The project will contribute to the development of integrated modelling frameworks for renewable energy deployment, offer data-driven insights for energy planning, and provide scientific support for policy-making in the context of sustainable development.",,,,,,,,,,,,,,,
